2025-05-30T17:18:50.608+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'polymorphicModelConverter'
2025-05-30T17:18:50.610+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'polymorphicModelConverter' via factory method to bean named 'springdocObjectMapperProvider'
2025-05-30T17:18:50.611+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'openAPIBuilder'
2025-05-30T17:18:50.615+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'securityParser'
2025-05-30T17:18:50.615+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertyResolverUtils'
2025-05-30T17:18:50.615+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'propertyResolverUtils' via factory method to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@3eb87509'
2025-05-30T17:18:50.616+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'propertyResolverUtils' via factory method to bean named 'messageSource'
2025-05-30T17:18:50.616+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'propertyResolverUtils' via factory method to bean named 'org.springdoc.core.properties.SpringDocConfigProperties'
2025-05-30T17:18:50.616+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'securityParser' via factory method to bean named 'propertyResolverUtils'
2025-05-30T17:18:50.619+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'openAPIBuilder' via factory method to bean named 'securityParser'
2025-05-30T17:18:50.619+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'openAPIBuilder' via factory method to bean named 'org.springdoc.core.properties.SpringDocConfigProperties'
2025-05-30T17:18:50.619+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'openAPIBuilder' via factory method to bean named 'propertyResolverUtils'
2025-05-30T17:18:50.620+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'modelConverterRegistrar'
2025-05-30T17:18:50.621+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'pageableOpenAPIConverter'
2025-05-30T17:18:50.621+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springdoc.core.configuration.SpringDocPageableConfiguration'
2025-05-30T17:18:50.621+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'pageableOpenAPIConverter' via factory method to bean named 'springdocObjectMapperProvider'
2025-05-30T17:18:50.622+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'sortOpenAPIConverter'
2025-05-30T17:18:50.622+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springdoc.core.configuration.SpringDocSortConfiguration'
2025-05-30T17:18:50.622+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'sortOpenAPIConverter' via factory method to bean named 'springdocObjectMapperProvider'
2025-05-30T17:18:50.623+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'modelConverterRegistrar' via factory method to bean named 'org.springdoc.core.properties.SpringDocConfigProperties'
2025-05-30T17:18:50.631+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'operationBuilder'
2025-05-30T17:18:50.631+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'parameterBuilder'
2025-05-30T17:18:50.631+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'delegatingMethodParameterCustomizer'
2025-05-30T17:18:50.633+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'parameterBuilder' via factory method to bean named 'propertyResolverUtils'
2025-05-30T17:18:50.634+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'parameterBuilder' via factory method to bean named 'springdocObjectMapperProvider'
2025-05-30T17:18:50.635+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'requestBodyBuilder'
2025-05-30T17:18:50.635+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'requestBodyBuilder' via factory method to bean named 'parameterBuilder'
2025-05-30T17:18:50.636+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'requestBodyBuilder' via factory method to bean named 'propertyResolverUtils'
2025-05-30T17:18:50.636+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'operationBuilder' via factory method to bean named 'parameterBuilder'
2025-05-30T17:18:50.636+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'operationBuilder' via factory method to bean named 'requestBodyBuilder'
2025-05-30T17:18:50.636+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'operationBuilder' via factory method to bean named 'securityParser'
2025-05-30T17:18:50.636+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'operationBuilder' via factory method to bean named 'propertyResolverUtils'
2025-05-30T17:18:50.637+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'genericReturnTypeParser'
2025-05-30T17:18:50.637+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'springDocProviders'
2025-05-30T17:18:50.638+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'routerFunctionProvider'
2025-05-30T17:18:50.638+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springdoc.webmvc.core.configuration.SpringDocWebMvcConfiguration$SpringDocWebMvcRouterConfiguration'
2025-05-30T17:18:50.639+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'springDocProviders' via factory method to bean named 'springdocObjectMapperProvider'
2025-05-30T17:18:50.641+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'springDocCustomizers'
2025-05-30T17:18:50.645+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springdoc.core.configuration.SpringDocSecurityConfiguration$SpringSecurityLoginEndpointConfiguration'
2025-05-30T17:18:50.646+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springdoc.core.configuration.SpringDocSecurityConfiguration'
